Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;114;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7330;UTENSÍLIOS E FERRAMENTAS MANUAIS DE COZINHA;3193;BACIA;292588;CAPACIDADE: 20, MATERIAL: PLÁSTICO;UN;10,0000;21,5000;215,0000;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;115;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7360;JOGOS, CONJUNTOS  E  EQUIPAMENTOS PARA PREPARAR E SERVIR ALIMENTOS;1133;BANDEJA;413049;ALTURA: 8, COMPRIMENTO: 53, COR: BRANCA, FINALIDADE: ARMAZENAMENTO DE ALIMENTOS, LARGURA: 37, MATERIAL: POLIETILENO;UN;20,0000;21,1400;422,8000;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;116;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7360;JOGOS, CONJUNTOS  E  EQUIPAMENTOS PARA PREPARAR E SERVIR ALIMENTOS;1133;BANDEJA;405443;ALTURA: 12, CARACTERÍSTICAS ADICIONAIS: REFORÇADA, CAPACIDADE 26 LITROS, COMPRIMENTO: 62,30, COR: BRANCA, FINALIDADE: ARMAZENAMENTO DE ALIMENTOS, LARGURA: 42,50, MATERIAL: POLIPROPILENO;UN;20,0000;25,8600;517,2000;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;117;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;7360;JOGOS, CONJUNTOS  E  EQUIPAMENTOS PARA PREPARAR E SERVIR ALIMENTOS;1133;BANDEJA;389207;CARACTERÍSTICAS ADICIONAIS: SUPERFÍCIE LISA, COMPRIMENTO: 48, COR: BEGE, FINALIDADE: ARMAZENAMENTO DE ALIMENTOS, LARGURA: 33, MATERIAL: PLÁSTICO RESISTENTE;UN;20,0000;35,9000;718,0000;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;118;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;9330;ARTIGOS DE PLÁSTICO;4149;CAIXA PLÁSTICA;616940;ALTURA: 19, APLICAÇÃO: MULTIUSO, COMPRIMENTO 1: 54,1, LARGURA: 33,8, MATERIAL: POLIPROPILENO, TIPO: EMPILHÁVEL, COM TAMPA;UN;20,0000;85,6400;1712,8000;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;119;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;9330;ARTIGOS DE PLÁSTICO;4149;CAIXA PLÁSTICA;616939;ALTURA: 13, APLICAÇÃO: MULTIUSO, COMPRIMENTO 1: 41,1, LARGURA: 29,1, MATERIAL: PLÁSTICO, TIPO: EMPILHÁVEL, COM TAMPA;UN;20,0000;67,0800;1341,6000;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;120;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;9330;ARTIGOS DE PLÁSTICO;4149;CAIXA PLÁSTICA;615870;ALTURA 01: 12,5, CARACTERÍSTICAS ADICIONAIS: COM TAMPA, EMPILHÁVEL, COMPRIMENTO: 32, COR: BRANCA LEITOSA, LARGURA: 16,5, MATERIAL: POLIPROPILENO ALTA DENSIDADE;UN;10,0000;57,5100;575,1000;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;121;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;9330;ARTIGOS DE PLÁSTICO;4149;CAIXA PLÁSTICA;615471;ALTURA: 31, APLICAÇÃO: ACONDICIONAMENTO DE MERCADORIAS, CAPACIDADE: 60, CARACTERÍSTICAS ADICIONAIS: PAREDES VAZADAS, COMPRIMENTO: 60, COR: VERDE, LARGURA: 40, MATERIAL: PLÁSTICO, TIPO: EMPILHÁVEL, TRANSMITÂNCIA: NÃO TRANSPARENTE;UN;30,0000;49,9000;1497,0000;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;122;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;9330;ARTIGOS DE PLÁSTICO;4149;CAIXA PLÁSTICA;614427;ALTURA 01: 31,5, APLICAÇÃO: ACONDICIONAMENTO DE HORTIFRUTIGRANJEIROS., CAPACIDADE: 20, CARACTERÍSTICAS ADICIONAIS: SPAÇO PARA GRAVAÇÃO PERSONALIZADA,, COMPRIMENTO: 56, COR: PRETA, LARGURA: 36, MATERIAL: POLIETILENO, MODELO: SEM TAMPA;UN;40,0000;32,9000;1316,0000;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;123;Material;926787-17/2026;Equipamentos e insumos;Catálogo do Compras.gov.br;Material;9390;PRODUTOS DIVERSOS NÃO METÁLICOS;4175;CAIXA TÉRMICA;614542;APLICAÇÃO: TRANSPORTE DE ALIMENTOS REFRIGERADOS/CONGELADOS, CAPACIDADE: 5, CARACTERÍSTICAS ADICIONAIS: ALÇAS LATERAIS EMBUTIDAS, ALÇA DE MÃO ARTICULÁVEL, MATERIAL: POLIPROPILENO;UN;2,0000;45,6700;91,3400;0,0000;31/12/2026
